Latitude,Longitude,UseCategory,Buildings,Units,Stories,Rooms,Beds,YearBuilt,Baths,Area,LandValue,ImprovementValue,HomeValue,LatestDocument
37.7388937,-122.2458296,Townhouse,1,1,2,7,4,1979,2.5,2018,87609,145394,233003,1978
37.7678108,-122.2491039,Single-family Attached,1,4,2,20,12,1965,6.0,4165,170247,88644,258891,1978
37.7766845,-122.2637271,Single-family Detached,1,1,1,5,2,1940,1.0,779,49544,31675,81219,1979
37.7681919,-122.2356199,Single-family Detached,1,1,1,5,2,1900,1.0,982,74925,12386,87311,1979
37.7362405,-122.24408,Townhouse,1,1,2,7,3,1968,2.5,1584,28471,59409,87880,1979
37.7736705,-122.2855253,Single-family Detached,1,1,1,4,2,1916,1.0,690,104165,17665,121830,1979
37.762578,-122.245363,Single-family Detached,1,1,1,5,2,1890,1.0,970,102743,26193,128936,1979
37.7744193,-122.2751585,Single-family Detached,1,1,1,5,2,1915,1.0,1475,134216,34315,168531,1979
37.7329133,-122.2360483,Townhouse,1,1,2,5,3,1973,2.5,1642,74561,96100,170661,1979
37.7701278,-122.2473755,Single-family Detached,1,1,2,6,3,1910,1.0,1399,147415,34315,181730,1979
37.7756286,-122.280342,Single-family Detached,1,1,1,10,7,1900,2.0,2670,129750,52184,181934,1979
37.7563502,-122.2435753,Single-family Attached,1,2,0,0,0,1910,0.0,1170,141325,59289,200614,1979
37.7602302,-122.2481732,Single-family Detached,1,1,1,8,4,1906,2.0,1852,164862,38108,202970,1979
37.7337225,-122.2346116,Single-family Detached,1,1,1,5,3,1951,1.0,1435,140306,71240,211546,1979
37.7638853,-122.265854,Single-family Detached,1,1,1,7,4,1963,2.0,1271,167517,74113,241630,1979
37.737772,-122.246228,Townhouse,1,1,0,0,0,1979,0.0,1534,133201,137871,271072,1979
37.7387699,-122.2436085,Townhouse,1,1,0,0,0,1978,0.0,1534,145993,138277,284270,1979
37.7628951,-122.2310214,Single-family Detached,1,1,2,6,3,1926,1.5,2904,322650,134301,456951,1979
37.7648956,-122.2686454,Single-family Detached,1,1,0,0,0,1979,0.0,2441,291690,171578,463268,1979
37.7642145,-122.2329273,Single-family Detached,1,1,1,6,3,1925,1.0,1660,65460,32771,98231,1980
37.7760978,-122.2799654,Single-family Detached,1,1,1,6,3,1910,1.0,1635,81981,21318,103299,1980
37.7748594,-122.2861456,Single-family Detached,1,1,1,5,2,1916,1.0,1092,94640,20489,115129,1980
37.7749089,-122.2612457,Single-family Detached,1,1,1,5,2,1920,1.0,1182,122642,29645,152287,1980
37.7724438,-122.2688226,Single-family Attached,1,2,2,10,5,1895,2.0,225,144922,17319,162241,1980
37.7566829,-122.2429438,Single-family Detached,1,1,1,5,2,1922,1.0,1144,165427,43596,209023,1980
37.7673841,-122.2689777,Single-family Detached,1,1,1,8,4,1965,2.0,3242,71040,195948,266988,1980
37.7529962,-122.2327944,Single-family Detached,1,1,1,5,3,1957,2.0,1536,192699,90974,283673,1980
37.770334,-122.263147,Single-family Detached,1,1,2,7,3,1889,2.0,2324,343594,24684,368278,1980
37.7651396,-122.26931,Single-family Detached,1,1,0,0,0,1979,0.0,1837,246647,135566,382213,1980
37.7400094,-122.2417472,Single-family Detached,1,1,0,0,0,1979,0.0,2310,201060,203051,404111,1980
37.765082,-122.2691328,Single-family Detached,1,1,0,0,0,1979,0.0,2433,256203,167816,424019,1980
37.7719896,-122.2818196,Single-family Detached,1,1,1,4,2,1915,1.0,860,92333,31226,123559,1981
37.7701064,-122.2703734,Single-family Attached,1,2,0,0,0,1890,0.0,1420,126467,19906,146373,1981
37.7731169,-122.2520176,Single-family Detached,1,1,1,4,1,1910,1.0,939,131737,24395,156132,1981
37.7660644,-122.2384675,Single-family Detached,1,1,1,6,2,1920,1.0,1060,123465,54899,178364,1981
37.7718778,-122.2842295,Single-family Detached,1,1,1,7,4,1895,1.0,1441,175844,44693,220537,1981
37.7347654,-122.2446943,Townhouse,1,1,2,4,2,1967,1.5,1200,105737,115733,221470,1981
37.7750981,-122.2586757,Single-family Detached,1,1,1,7,4,1912,2.0,2106,218784,56622,275406,1981
